Query >939	 [np] 不禁/d [vp] 
135	 [np] [vp] 不可/v [vp] 
346	 [advp] [vp] 不良/a [np] 
56	 r 不/d g r 
43	 m 不/d g [np] 
41	 不堪/v [vp] g 
29	 r c r [advp] 不/d [vp] 
20	 不/d [advp] 不/d [vp] 
38	 不/d [vp] m [np] [vp] 
57	 r 不乏/v [np] 
177	 [advp] [pp] 不断/d [vp] 
39	 [pp] [vp] 不/d [np] 
78	 s u [np] c 不/d a 
126	 c [np] 不通/a 
950	 c r [qp] [advp] 不/d [vp] 
129	 r c r 不/d a 
61	 [vp] [qp] [advp] 不/d a 
75	 [np] [pp] [np] 不服/v u 
78	 r [advp] 不得而知/v y 
95	 [np] a 不/d [vp] a 
35	 c [advp] [vp] 不/d [np] 
90	 [vp] 不法/b [np] 
177	 r [advp] [vp] 不错/a u 
20	 不可言传/v 
51	 [np] 不/d [vp] a y 
26	 l 不可/v [vp] 
50	 [vp] p 不/d g f 
20	 u r [advp] [vp] 不/d a 
154	 s 不住/d u [vp] 
20	 [np] 不得而知/v 
27	 c r 不/d [vp] 不/d [vp] 
499	 r 不用/d [vp] y 
157	 [np] 不足/v m [np] 
280	 [np] [vp] 不/d [vp] [qp] 
25	 r 不得不/d [vp] y 
15908	 不过/c [vp] y 
25	 r 不/d [vp] p [vp] [qp] r 
69	 r a 不/d [advp] [vp] 
19	 a a 不/d m 
19	 [np] 不妙/a 
79	 [np] 不仅/c [advp] [vp] 
46	 c [advp] 不/d [vp] p [vp] 
28	 不/d p g [vp] 
25	 不管/c [np] m a 
66	 r 不仅/c a 
19	 g 不/d g a 
32	 [np] 不无/v [advp] [vp] 
1398	 r [advp] 不/d [pp] [vp] 
605	 r [advp] [vp] 不已/v 
19	 [np] 不当/a 
24	 c [np] 不错/a 
134	 [advp] 不宜/v [vp] 
19	 不要/d [np] t [np] 
19	 a 不/d u [qp] 
19	 c [advp] 不/d [vp] p r 
19	 不/d [vp] s z [vp] 
1607	 [advp] [vp] m t 不/d [vp] 
197	 [np] [advp] 不得/v [vp] 
19	 [np] m [vp] y 不复/d [advp] 
25	 不许/d [vp] g 
670	 c r [advp] 不/d [advp] a 
36	 c 不/d [vp] g [vp] 
19	 不/d g 不/d a 
24	 [np] [pp] 不/d a 
19	 不/d m [np] 
19	 [np] 不和/a 
64	 r 不/d [vp] f u [np] 
108	 c [np] 不/d p r 
346	 [np] 不再/d [vp] y 
19	 不/d [np] k 
29	 r m t 不/d [vp] 
25	 [np] [advp] 不/d a a 
19	 不言不语/v 
19	 m t m 不/d [vp] 
84	 r [advp] g 不/d [vp] 
305	 [np] [advp] 不/d [advp] [vp] y 
34	 [np] 不住/d u [vp] 
19	 [np] p r [advp] 不/d a 
44	 [np] 不/d y 
50	 r [advp] 不能不/d [vp] 
44	 不管/c [vp] y 
271	 [np] [advp] 不足/v [qp] 
35	 [np] 不得/v [vp] f 
92	 r 不/d [vp] 不/d g 
19	 r 不是/v [np] 
117	 r m g 不/d [vp] 
19	 m t 不/d [vp] y 
545	 r [advp] 不/d p [vp] y 
26	 [np] a u 不得了/l 
18	 不知/v r g 
18	 r g 不/d g 
29	 不料/d [np] [advp] [vp] 
25	 c t [vp] 不/d [vp] 
125	 [np] [vp] 不/d [vp] g [vp] 
145	 [advp] [vp] c [np] 不断/d [vp] 
18	 p 不到/v m t [np] f 
18	 c [advp] p 不断/d [vp] 
55	 c [advp] [vp] 不/d u [np] 
