Query >939	 [np] 不禁/d [vp] 
18	 [advp] u r [advp] 不/d [vp] 
165	 [np] 不免/d [vp] 
10	 不管/c [vp] [advp] a 
15	 [vp] 不/d [vp] m t [np] 
50	 [vp] c [vp] 不足/v 
10	 不知/v [np] p r 
67	 [np] [advp] 不/d [vp] m t 
142	 r 不由/d [vp] 
24	 r 不/d [vp] [pp] [vp] y 
18	 t g 不/d [vp] 
38	 r 不再/d [vp] g 
10	 [np] 不耐烦/a y 
16	 [advp] 不能/v p [vp] [pp] [vp] t [vp] 
1752	 r 不/d [advp] [vp] y y 
103	 不管/c [vp] [advp] [vp] a 
72	 r 不仅/c p [vp] 
10	 [np] 不再/d [vp] s [np] 
10	 不惜工本/v 
18	 r [advp] 不/d a m t 
50	 r [advp] a 不/d y 
16	 [vp] 不/d u u [np] 
77	 r m t [advp] 不/d [vp] 
32	 [advp] [vp] 不/d g u g 
10	 [np] t [vp] 不/d [vp] 
10	 [np] 不/d [advp] [pp] 
35	 [advp] p 不/d [vp] y 
158	 r [advp] 不/d u 不/d [vp] 
17	 不幸/a u [np] [vp] 不幸/n 
10	 [advp] g [np] 不/d [vp] 
10	 [np] 不幸/n 
31	 [advp] [vp] 不到/v [vp] 
20	 [vp] 不/d [vp] [qp] [vp] 
24	 r [advp] 不/d [vp] p f [vp] 
15	 r 不好意思/a 
107	 r [advp] [vp] 不/d a a 
10	 s u [np] g 不/d [vp] 
10	 [np] [advp] 不/d [vp] m [vp] 
10	 r 不甘示弱/v 
10	 不谙/v [np] 
10	 不管/c [vp] c 不/d [vp] 
10	 不过/c [vp] p [vp] 
29	 r [advp] 不/d a [advp] [vp] 
34	 不/d [vp] [advp] r y 
10	 r g 不再/d [vp] 
18	 r [advp] 不已/v 
514	 [vp] t [vp] 不/d [vp] y 
15	 r 不/d [vp] s y 
10	 不禁/d a g 
60	 [vp] 不要/d [advp] [vp] y 
35	 r s c 不/d a 
15	 [vp] 不过/c r 
34	 [advp] 不知所云/v 
43	 r [advp] 不要/d a 
10	 r 不/d [vp] p s y 
10	 不过/c [vp] m t 
34	 r [advp] 不大/d [vp] 
10	 不必/d a g 
77	 r z 不/d [vp] 
1343	 r c [np] 不同/a 
10	 a 不要脸/a 
44	 不/d [vp] [advp] 不好/a 
16	 r f [advp] 不/d [vp] 
16	 r 不/d [vp] [advp] [vp] p r 
137	 r 不/d [vp] p f [vp] y 
66	 r [advp] 不愧/d [vp] 
10	 c r [advp] [vp] 不到/v 
18	 r [advp] [vp] a 不好/a 
550	 r 不要/d a y 
10	 c [vp] 不/d a a 
15	 r [advp] 不屑/v u [vp] 
7352	 r 不/d [vp] [advp] [vp] y y 
10	 不然/c r [advp] 不/d [vp] y 
73	 c [vp] c 不/d [advp] a 
143	 [np] c 不/d [vp] b u [np] 
9	 r c 不/d [advp] a 
9	 o u [vp] [qp] 不/d [vp] 
84	 [advp] 不/d [vp] c [advp] [vp] 
16	 [np] 不规则/a 
25	 [np] 不怕/v a 
9	 c [np] [advp] 不/d r 
21	 [advp] [vp] m 不同/a u [np] 
9	 c [np] 不/d [vp] g 
17	 t 不断/d [vp] 
9	 s [vp] [qp] 不/d [vp] 
47	 [np] [vp] 不到/v m t 
16	 g 不知/v g 
9	 r t [vp] 不/d a 
9	 [vp] p 不断/d [vp] 
277	 c r 不/d [pp] [vp] 
28	 [vp] 不同寻常/v u [np] 
68	 [advp] 不/d [vp] t [vp] 
9	 f [vp] f 不/d [vp] 
24	 [np] p r [advp] 不满/a 
9	 [np] 不易/a 
20	 m t 不/d [vp] a 
134	 [advp] [vp] 不懈/z u [np] 
9	 [pp] u 不懈努力/v 
45	 p 不/d [vp] m t u [np] f 
284	 s u [np] p 不断/d [vp] 
9	 c 不少/m [np] [advp] [vp] 
9	 s [np] 不再/d [vp] 
14	 c t r 不/d [vp] 
29	 r [advp] 不/d [vp] k u [np] 
14	 不良/a [np] [vp] m 
41	 不骄不躁/v u [np] 
9	 g 不/d [vp] [qp] s [np] 
9	 [advp] 不/d g r 
9	 t 不/d [vp] [qp] 
9	 不仅/c [pp] a 
21	 [pp] u [np] [advp] 不利/a 
22	 m t f 不/d [vp] 
9	 b b m [np] 不断/d [vp] 
9	 不/d g c g 
9	 不断/d [advp] [vp] 
25	 [np] 不仅/c [vp] [advp] [np] 
17	 r [advp] m [vp] 不/d [vp] 
800	 c [pp] [np] u 不断/d [vp] 
14	 s [vp] 不/d p s [vp] 
90	 r [advp] [vp] 不可开交/l 
76	 c 不知/v p r f 
9	 [advp] a [advp] 不行/a 
35	 c [np] 不济/a 
9	 [np] 不成/v [np] 
9	 s 不/d [vp] f [vp] 
14	 f [np] [advp] 不/d [vp] 
31	 不断/d [pp] [np] [vp] 
9	 p t 不/d a 
14	 u [np] 不妥/a 
73	 [np] 不明/v [np] 
175	 [advp] 不容/v [vp] 
46	 c r 不为所动/v 
9	 g [vp] 不止/v 
9	 c 不择手段/l 
28	 [vp] m [vp] 不/d [np] 
56	 不然/c [advp] [vp] y 
9	 [advp] 不得人心/v 
9	 r [advp] 不复存在/v 
195	 c t 不久/m 
30	 [advp] [vp] 不可估量/v u [np] 
96	 p s [np] 不景气/a 
18	 [vp] [advp] 不够/a a 
22	 p [vp] 不/d [vp] f 
28	 c [np] 不菲/a 
103	 r [advp] [vp] 不必/d [vp] 
25	 r [pp] 不符/v 
104	 [np] 不同/a [pp] [np] 
9	 [np] u [advp] 不/d [vp] 
9	 [np] 不断/d u [np] 
14	 r [pp] [np] 不/d [vp] 
17	 b b m [np] 不同/a 
14	 [vp] 不再/d a 
9	 [pp] [vp] 不够/a 
149	 c [vp] c 不/d g 
14	 c r 不/d [vp] z 
9	 r p t [vp] 不可/v [vp] 
20	 r [advp] a 不/d u y 
9	 [np] [advp] 不甘示弱/v 
9	 不久/m [advp] p s [vp] 
15	 p f 不/d [advp] [vp] 
53	 p r 不远处/s 
357	 u [np] [vp] [advp] 不/d [vp] 
14	 [np] 不可避免/v 
43	 r 不仅/c [vp] c [np] 
9	 g [advp] 不宜/v a 
9	 不顾/v [np] [advp] [vp] 
25	 a u c 不/d a u 
9	 [np] r [advp] [vp] 不/d a 
9	 p [vp] g 不/d [vp] 
9	 不/d [advp] [pp] [np] 
9	 m g 不/d a 
1497	 r 不但/c [vp] y 
63	 不/d [vp] 不切实际/v u [np] 
9	 [vp] 不良/a [np] u 
47	 [np] 不堪回首/v [np] g f 
16	 z [np] 不/d a 
19	 [np] 不/d [vp] [qp] [vp] 
18	 不要/d [vp] m [np] 
27	 r 不/d [advp] 不/d a 
55	 r [pp] 不好/a 
9	 [pp] [vp] [advp] 不/d a 
15	 不/d u a [vp] c [vp] 
15	 不得/v [vp] [pp] u [np] p [vp] 
9	 不得/v [vp] s u [np] 
9	 p s [advp] 不/d [vp] 
131	 c t [np] 不同/a y 
16	 c [np] [advp] 不/d [advp] [vp] 
9	 t [vp] 不/d f [vp] 
146	 [np] k 不/d [vp] y 
282	 c [np] 不可/v [vp] 
9	 c s p m [np] f 不/d p s [vp] 
19	 不要/d [vp] [qp] 
15	 [np] [vp] 不/d [vp] t [vp] 
26	 u [np] [vp] 不对/a u 
9	 [np] 不够/a u [np] 
79	 c [np] 不/d m 
9	 [np] 不/d b 
229	 r [advp] 不/d [vp] t u [np] 
417	 [pp] [np] [vp] 不足/v 
17	 r 不/d [vp] f [vp] 
25	 [pp] [vp] 不同/a u [np] 
9	 c [pp] [vp] 不/d [vp] 
9	 c p 不断/d [vp] 
349	 p 不同/a u [np] [vp] 不同/a u [np] 
35	 [vp] 不/d [vp] m u [np] 
19	 [np] p [vp] 不服/v u 
54	 [advp] 不宜/v [advp] [vp] 
9	 不等式/n 
21	 c 不/d [vp] f [vp] 
107	 r [advp] [vp] 不/d u a 
20	 r 不由得/d [vp] y 
47	 r [advp] 不幸/a y 
56	 r [advp] p r 不/d [vp] 
9	 a g [vp] 不/d [vp] 
34	 g 不/d [vp] c [np] 不/d [vp] 
26	 [np] 不/d g r g 
9	 c m [vp] 不/d [vp] 
9	 [advp] 不/d p a 
9	 [vp] k [advp] 不/d a 
9	 不/d a [advp] a 
15	 c p [vp] 不/d [vp] 
1889	 r [advp] [vp] [advp] [vp] 不/d [vp] y 
21	 [vp] 不/d [vp] g g 
9	 不必/d [vp] g 
52	 不道德/a u [np] 
144	 c [np] [advp] u 不/d [vp] 
9	 r p 不/d p 
9	 r 不予/v [vp] 
9	 c 不/d [vp] a g 
9	 c 不宜/v [advp] [vp] 
9	 [np] [vp] 不好/a u 
15	 p [vp] 不/d a u 
24	 r 不/d [vp] k 
14	 不/d [vp] [pp] c [vp] 
9	 不管/c [np] a a 
230	 [advp] [vp] 不/d a g 
9	 [np] b [vp] 不可/v 
14	 c 不致/d [vp] 
9	 [vp] 不/d [np] [advp] [vp] 
15	 不/d a u [advp] [vp] 
64	 [vp] 不合时宜/l u [np] 
60	 r t [pp] u [np] 不/d [vp] [advp] a u 
9	 b [advp] 不可/v 
9	 c 不/d a [advp] [vp] 
9	 不知/v u g 
167	 r c 不/d [vp] s [np] 
9	 g g 不同/a 
21	 [np] [vp] [advp] 不/d [vp] y 
22	 [np] f 不/d [advp] [vp] 
32	 [advp] 不得要领/v 
9	 c [advp] [vp] 不同/a [np] 
9	 m [vp] 不/d a u 
15	 p 不/d [vp] c [vp] 
9	 m [np] 不/d g 
17	 g g 不安/a 
9	 c a c 不/d a 
9	 b r 不可/v 
9	 [vp] 不/d g g 
9	 不妨/v [advp] [vp] 
17	 [pp] [vp] 不良/a [np] 
100	 r [advp] [vp] 不/d y y 
23	 [vp] [qp] 不祥/z u [np] 
9	 m [vp] 不/d [vp] y 
21	 [advp] 不/d [advp] [vp] [pp] 
15	 不断/d [vp] f [vp] 
14	 不/d [vp] [advp] 不行/a y 
9	 [np] [advp] a 不/d y 
9	 c p 不少/m [np] 
36	 不/d [vp] s [np] 不/d [vp] 
9	 c t [np] [advp] 不/d a 
144	 [np] [vp] 不/d u [np] [vp] 
9	 u [np] 不少/m 
9	 不/d [vp] 下不为例/v 
9	 不少/m [np] [vp] a 
96	 不管/c [pp] [vp] 
19	 c [advp] [vp] 不够/a u 
9	 不为人知/v 
195	 不/d [vp] 不/d [vp] 不/d [vp] 
9	 [vp] 不/d [vp] [advp] [vp] g 
701	 不管/c [np] [vp] 不/d [vp] 
9	 g 不出所料/v 
9	 m 不/d p 
9	 不仅/c 不/d a 
77	 r c [vp] 不/d g 
15	 r [advp] [vp] 不断/d [vp] 
28	 m [np] 不谋而合/v 
19	 p [qp] [advp] 不能/v [vp] 
385	 r c 不/d [vp] [advp] 不/d [vp] 
17	 [advp] [vp] 不/d u m t 
40	 c m [np] c 不/d [vp] 
9	 c f 不/d u [np] 
493	 c [np] [advp] 不同/a y 
46	 r [advp] 不/d [vp] a [vp] 
14	 [np] 不如/v g [vp] 
19	 c [advp] 不/d g [vp] 
9	 [np] m [vp] 不/d [vp] 
9	 g [advp] 不/d [vp] g 
9	 不幸/n [pp] [vp] 
9	 [np] [advp] [np] 不/d [vp] 
9	 不禁/d [vp] a 
9	 g p 不/d [vp] 
16	 [vp] p r [advp] 不/d [vp] 
9	 [pp] u 不/d [advp] [vp] 
40	 c t [advp] 不同/a y 
154	 c 不/d [vp] m t [np] 
9	 [np] [advp] 不怕/v 
42	 [np] [advp] a 不少/m 
9	 不免/d [vp] t a 
87	 [vp] 不/d [vp] t [np] m u 
33	 c [advp] p 不断/d u [vp] 
25	 a 不足/a [qp] 
26	 r 不知/v r u 
9	 [np] 不/d [np] [advp] [vp] 
9	 a [qp] 不/d [vp] 
9	 r u s [advp] 不/d a 
14	 [vp] 不/d u [advp] [vp] 
9	 不管/c [np] [vp] m a 
21	 [vp] [advp] [vp] 不/d a u 
20	 c 不顾/v [np] 
9	 m t m t 不/d [vp] 
9	 [np] 不可/v [np] 
9	 不便/a [np] 
29	 r [advp] 不能/v [advp] a 
18	 r p r 不/d p 
37	 c [vp] [advp] [vp] 不/d [vp] 
134	 a g [vp] 不/d a [qp] 
9	 [np] 不/d [vp] t [np] 
39	 [vp] t t 不/d [vp] 
9	 [advp] 不屈/v 
9	 [np] 不/d p g 
36	 p r 不无/v [np] 
9	 g 不/d [advp] g 
9	 不见/v u [np] 
50	 r 不/d [vp] 不/d a y 
186	 r 不/d [advp] a y y 
9	 r 不/d [vp] m u [np] 
9	 c r 不以为然/v 
15	 r 不必/d [vp] a 
15	 [np] u c 不/d [vp] a u 
9	 [vp] s [advp] 不/d a 
9	 [vp] 不/d [np] b 
316	 [advp] r 不/d [vp] a y 
9	 不仅/c [np] z 
33	 r 不/d [advp] p [vp] 
9	 r 不足为奇/v 
28	 [np] [advp] 不够/a [np] 
9	 c 不屑一顾/v 
15	 r [advp] b [vp] 不/d [vp] 
68	 r [advp] [vp] s 不久/m 
9	 不管/c t [np] 
14	 c p r [advp] 不/d [vp] 
9	 g 不/d g g 
9	 m [np] f 不/d [vp] 
32	 不声不响/v u [np] 
9	 [advp] r [advp] [vp] 不/d u r 
23	 r 不/d [np] y 
18	 [vp] 不管/c [vp] 
9	 a u [advp] 不/d [vp] 
14	 c [np] [advp] [vp] 不/d a 
84	 r c 不/d [vp] l 
32	 [np] 不/d u m t 
41	 [vp] p 不/d [vp] a 
9	 r [advp] a 不过/u y 
9	 [np] 不过/c m t 
69	 c [np] f [advp] 不/d a 
34	 [vp] 不准/v [np] 
3022	 [advp] u [np] [advp] [vp] 不/d [vp] y 
9	 [advp] 不/d [vp] [advp] u [vp] 
14	 c r [advp] 不/d [vp] g 
9	 [advp] r 不/d p 
9	 不一会儿/l [np] 
21	 m t 不见/v 
38	 r 不/d [vp] [advp] a u y 
20	 [np] [vp] 不妙/a 
9	 不/d u 不/d r 
94	 r [advp] [vp] 不/d [vp] [advp] [vp] 
42	 r [advp] [vp] 不/d u [np] y 
9	 不知凡几/v 
93	 不过/c [np] [advp] a y 
9	 m [np] r [advp] 不/d [vp] 
14	 r 不理/v r 
9	 c [np] 不/d a y 
27	 r 不由得/d [advp] [vp] 
52	 r [advp] 不/d a r 
84	 r 不要/d [vp] a 
34	 [np] [vp] 不定/d 
14	 [advp] r 不/d [vp] [advp] [vp] 
158	 r [advp] r [advp] [vp] 不/d [vp] y 
9	 t [advp] 不/d [vp] t 
45	 不然/c r [advp] [vp] y 
9	 c [advp] 不/d a a 
17	 r 不/d [vp] [advp] p r 
24	 r 不/d [vp] p r y 
9	 不论/c r [advp] a 
9	 r 不行/a u 
34	 u r [advp] [vp] 不/d [vp] y 
9	 r c r 不/d p 
21	 c [advp] 不知/v p r 
31	 r [advp] [vp] 不见/v 
108	 r [advp] u [vp] [advp] 不/d [vp] 
9	 不至于/d y 
9	 c [np] r [advp] [vp] 不/d [vp] 
15	 r [advp] 不再/d [vp] g 
27	 [np] 不仅/c a a c l 
9	 [np] [advp] a 不翼而飞/v 
25	 [vp] p r [advp] 不/d g y 
15	 [vp] p [vp] 不足/v 
8	 c 不/d [vp] [pp] [advp] [vp] 
8	 c [vp] 不断/d u [vp] 
8	 [np] [advp] [vp] 不/d [vp] g 
8	 [advp] 不/d [advp] [pp] 
150	 c 不/d [vp] [qp] [vp] 
18	 不管/c [vp] a u 
14	 [np] 不仅/c p [vp] 
14	 [pp] [vp] 不利/a 
8	 不过/c [vp] t u 
13	 [np] 不仅/c [vp] [pp] 
36	 [vp] 不同/a [np] f u [np] 
36	 r 不仅/c [advp] a 
8	 不/d [vp] p [advp] [vp] 
8	 不避艰险/v 
8	 不理/v [np] 
57	 [advp] g 不成/v [np] 
25	 不断/d [vp] s [np] 
373	 c 不久/m [advp] [vp] y 
27	 s [np] 不仅/c [vp] 
27	 r [qp] [vp] 不/d [vp] 
8	 c [np] [vp] [advp] 不/d [vp] 
13	 不论/c [advp] [np] 
8	 不/d [pp] [vp] g 
21	 t [np] 不断/d [vp] 
16	 s [np] [vp] 不/d a 
8	 r 不得/v [advp] [vp] 
23	 [np] 不公/a u [np] 
8	 [advp] [vp] 不同/a u [vp] 
13	 c [advp] 不/d [pp] [vp] 
14	 [np] 不可逆转/v 
21	 c 不管/c [np] r 
8	 [vp] 不断/d [vp] c [np] 
83	 m [np] 不良/a 
8	 [vp] 不/d [vp] f [np] 
8	 c 不同/a u [vp] 
8	 p [vp] [pp] 不/d [vp] 
22	 l [np] 不断/d [vp] 
13	 r c 不/d [vp] g 
8	 不要/d [advp] [vp] c [np] 
13	 r 不/d [vp] l u [vp] 
8	 [np] 不仅/c [vp] y 
8	 s [np] [advp] 不断/d [vp] 
27	 r 不/d [vp] [advp] [vp] [advp] [vp] 
8	 p p 不同/a [np] 
14	 [np] 不难/d [vp] 
13	 [pp] 不再/d [vp] 
8	 t [np] 不明/v 
8	 [advp] 不容忽视/v 
89	 c r [advp] 不/d [vp] [advp] a u 
8	 [pp] [np] f [vp] 不利/a [np] 
8	 r a [advp] 不/d [vp] 
8	 不要/d [pp] [np] 
8	 不/d t [advp] [vp] 
8	 p 不/d [vp] s [np] 
14	 不少/m s [np] [advp] [vp] 
15	 不/d [vp] 不/d l 
19	 [np] [advp] [vp] 不到/v [np] 
8	 c [vp] 不利/a 
30	 [advp] 不虚此行/v 
23	 [np] [advp] 不知/v [np] 
13	 [advp] 不/d [vp] f [np] 
18	 [np] [advp] 不得/v [np] 
8	 [np] 不/d a [advp] 不/d a 
8	 p m t 不懈努力/v 
16	 c [advp] 不/d [vp] [qp] 
19	 [pp] [np] 不同/a u [vp] 
8	 [advp] [pp] [vp] 不解之缘/l 
8	 不管/c b 
15	 s [advp] 不再/d [vp] 
13	 [vp] [advp] 不尽/d a 
20	 [np] 不假思索/l u [vp] 
8	 p 不/d [vp] [pp] 
16	 r [qp] r 不/d [vp] 
61	 [pp] [np] 不利/a 
8	 p s [np] u 不/d [advp] [vp] 
8	 s 不/d [vp] [pp] 
763	 [np] 不仅/c [vp] s [np] 
22	 [vp] [advp] 不/d [pp] 
13	 r 不得不/d p [vp] 
8	 r 不能/v [advp] a 
28	 c [np] [advp] [vp] c 不/d [vp] [advp] [vp] 
8	 s [np] [advp] 不/d [vp] [advp] [vp] 
18	 r a u 不知所措/v 
8	 r 不能/v a 
29	 [vp] 不/d [pp] u [np] p [vp] 
8	 c [pp] [advp] 不/d a 
13	 [pp] [np] [advp] 不利/a 
64	 r 不但/c [vp] a 
309	 c r [qp] 不/d [vp] 
8	 不要/d [vp] c [np] 
8	 r 不/d p r a 
26	 [np] 不仅/c 不/d [vp] 
8	 s [np] [vp] 不久/m 
115	 r [advp] 不乏/v [np] 
8	 p 不到/v m [np] f 
8	 不/d [advp] p s 
111	 s [np] 不得不/d [vp] 
8	 [vp] 不成/v g 
62	 s [np] 不仅/c [np] a 
105	 r m [np] 不/d a 
33	 p 不/d u r [advp] [vp] 
33	 [np] 不/d [np] [advp] a 
20	 c r t [advp] 不/d [vp] 
8	 [pp] [np] c 不/d a 
40	 m [vp] 不断/d [vp] 
23	 [np] f [np] 不断/d [vp] 
18	 t [advp] 不行/a y 
199	 [np] f [advp] 不/d [vp] a 
8	 不少/m [np] g 
8	 不尽/b [np] 
8	 p 不得已/a u [np] f 
8	 [np] [advp] 不见/v [np] 
8	 不得/v [advp] [vp] c [advp] [vp] 
179	 [vp] g 不/d [vp] g u 
8	 [advp] 不/d p s [vp] 
8	 m a 不得/v 
136	 r c 不/d p [vp] 
49	 c [np] 不止/v 
37	 [np] 不以为然/v u [vp] 
13	 r 不得不/d [vp] s 
8	 [advp] [vp] 不到/v r 
14	 r [advp] 不慌不忙/v u [vp] 
8	 [np] [pp] [vp] 不/d [vp] 
16	 [vp] 不/d [advp] a y 
8	 a k 不/d a 
8	 不/d g [pp] 
8	 不/d [vp] a g [np] 
8	 [advp] 不可/v p [vp] 
8	 g g 不/d [vp] g 
8	 [advp] g 不/d g 
40	 r [advp] 不大/d a y 
8	 c m g 不/d [vp] 
8	 不幸/a [np] [vp] 
19	 c 不/d [vp] [advp] [vp] c [vp] 
8	 c 不/d [vp] g u 
8	 [vp] 不能/v [pp] 
8	 b u [np] 不/d a 
49	 c [advp] 不/d [vp] [advp] a u 
8	 [np] 不妨/d [advp] [vp] 
47	 r 不妨/d [advp] [vp] [qp] 
13	 [vp] 不同/a p [vp] 
8	 r 不断/d u p [vp] 
8	 不管/c [vp] [advp] [np] 
14	 不过/c [vp] m [vp] 
8	 不但/c p r 
19	 c 不/d [vp] [pp] u [vp] 
123	 [vp] [advp] 不/d [vp] a u 
8	 c 不/d [vp] [advp] p [vp] 
256	 c [vp] [advp] 不/d a u 
21	 不但/c [pp] [np] 
20	 [np] [vp] 不可/v u 
8	 r c r 不同/a 
8	 [np] [vp] 不/d [pp] 
8	 不/d [vp] a u [advp] [vp] 
8	 [np] r [advp] [vp] 不/d y 
24	 [advp] [vp] 不过/d 
8	 c r 不/d [advp] a 
8	 b u [np] [advp] 不/d [vp] 
32	 t [advp] 不/d [advp] [vp] y 
8	 r t 不/d [vp] [advp] [vp] 
738	 c c [vp] 不好/a 
46	 c m [np] [vp] 不行/a u 
22	 r 不/d [vp] l [vp] 
8	 不/d [advp] [vp] s u [np] 
55	 [vp] 不可逆转/v u [np] 
8	 [np] 不见/v [vp] 
8	 c [advp] 不同/a 
8	 c [advp] [vp] 不/d [advp] 
31	 [advp] [vp] 不/d [advp] [vp] y 
8	 不能/v [advp] p f [vp] y 
29	 [np] 不胜/d [vp] 
124	 p t [advp] 不/d a y 
8	 r 不/d a r 
8	 不足/v [vp] p 
8	 不宜/v [np] 
52	 c r 不/d p y 
18	 [advp] 不同/a [pp] [np] 
8	 不白之冤/l 
14	 r 不/d [np] [vp] 
74	 [advp] 不/d [advp] [vp] a u 
8	 c 不妨/d [vp] 
44	 [vp] 不安/a u [np] 
8	 c g 不/d a 
8	 [vp] g 不/d [pp] 
8	 [np] u 不可/v [vp] 
27	 [vp] g 不/d [vp] y 
8	 [np] 不/d [vp] f [vp] 
31	 不知/v [advp] [vp] 
8	 c [np] g 不/d [vp] 
8	 [np] g 不已/v 
8	 a g 不/d a 
8	 不可不/d [vp] 
48	 [vp] g 不/d [vp] a 
8	 s 不/d a y 
8	 [advp] [pp] [np] 不/d a 
8	 [vp] [qp] 不久/m 
85	 [vp] 不公/a u [np] 
53	 [vp] [advp] 不堪/v 
21	 [np] [advp] 不要/d [vp] 
8	 不须/v [vp] 
8	 f r [advp] [vp] 不/d [vp] 
8	 不仅/c [np] 不/d [vp] 
8	 g [vp] 不/d [vp] y 
15	 [vp] [advp] a 不过/u u [np] y 
8	 [advp] [vp] f u 不正之风/l 
88	 t [advp] [vp] 不见/v [np] 
8	 c [vp] 不/d [pp] 
55	 r 不/d [vp] [advp] [pp] [vp] 
13	 [vp] m [vp] [advp] 不/d a 
8	 [advp] 不公/a 
8	 g r 不/d a 
13	 [vp] 不正之风/l u [np] 
29	 [np] [advp] 不必/d [vp] y 
8	 不由/d u [vp] m [vp] 
8	 c 不/d p y 
14	 不管/c [vp] m a 
8	 m 不/d [vp] [advp] [vp] 
8	 不得不/d [pp] [vp] 
110	 p 不同/a [np] [vp] 不同/a [np] 
19	 [np] [vp] f 不能/v [vp] 
57	 [np] [advp] [vp] 不错/a u 
8	 c [advp] [vp] c 不足/v 
8	 不准/v [vp] [pp] 
8	 s [np] r 不/d [vp] 
32	 不断/d [vp] l [np] 
8	 a b 不/d [vp] 
8	 [vp] 不要/d r 
8	 [np] [vp] 不/d [vp] c 不/d p l [vp] [advp] 不/d [vp] 
8	 不管/c t t 
80	 m [vp] 不/d [vp] m [vp] 
8	 不免/d [np] 
13	 [advp] 不/d r u 
13	 [np] 不知/v [vp] 
8	 a u a 不/d y 
57	 [vp] 不折不扣/v u [vp] 
8	 [np] f [qp] 不/d [vp] 
13	 [np] 不/d [vp] k [np] 
8	 [np] 不惜/v [np] 
8	 p [vp] 不/d y 
8	 不/d g [np] g 
8	 [vp] g 不成/v [np] 
8	 [vp] [advp] 不可避免/v 
24	 [np] c 不/d a a 
8	 不/d [vp] m [qp] 
8	 [np] 不予/v [np] 
13	 r c r 不/d [vp] 
14	 [qp] [vp] 不/d a 
15	 r 不再/d [np] 
33	 c r 不/d r 
13	 c [vp] [advp] 不错/a 
8	 [vp] 不/d g s 
8	 [np] [advp] 不/d [vp] l 
186	 [np] a 不/d a y 
8	 c [vp] 不要/d [vp] 
8	 [pp] u [np] u 不断/d [vp] 
31	 [advp] [vp] 不/d [np] [vp] 
13	 [advp] m 不/d [vp] 
8	 [np] 不满/a m 
21	 [np] 不问/v [np] 
57	 [np] 不必/d [vp] y 
8	 [vp] [advp] 不/d [vp] p [vp] [advp] [vp] 
8	 m t 不行/a m t 
8	 c [advp] 不/d g [np] 
17	 [np] [advp] 不少/m 
8	 [advp] 不管/c [np] 
15	 [np] 不足/v u a 
30	 不知/v a u [advp] [vp] 
8	 [vp] 不畏/v [np] 
14	 [np] [advp] p 不/d [vp] 
22	 [vp] c 不/d [vp] a 
703	 c r 不/d g [np] 
147	 r [advp] [vp] [advp] [vp] 不/d a 
8	 r 不怕/v a 
713	 c 不仅如此/l 
8	 [vp] [qp] 不/d [advp] [np] 
8	 [np] g 不/d [vp] y 
8	 不料/d m t f 
47	 m t u [np] 不/d [vp] a 
17	 [advp] [vp] c [np] 不正之风/l 
8	 [advp] u 不久/m 
8	 r [qp] [advp] 不在乎/v 
8	 不免/d l 
8	 [np] k [vp] 不已/v 
8	 [qp] m [np] [vp] 不/d u [np] 
8	 s a 不/d [vp] 
51	 [vp] [advp] 不易/a 
8	 不/d a c [vp] 
8	 [np] [vp] m t 不/d [vp] 
8	 p a 不/d a 
30	 r [pp] u [np] [advp] 不/d [vp] 
8	 r 不敢当/v 
8	 a m t 不/d [vp] 
8	 m 不怕/v 
25	 r c 不/d [vp] [advp] [vp] 
42	 p r 不同/a [np] 
14	 g 不/d p [vp] 
31	 r p r 不/d [advp] [vp] 
8	 [advp] 不管/c [vp] 
8	 r t [np] 不/d [vp] 
8	 [np] [advp] a 不过/u y 
15	 c [advp] 不/d [vp] [advp] [np] 
32	 不断/d [vp] a u 
22	 [advp] 不/d [vp] a a u 
15	 r 不期而遇/v 
85	 c [advp] 不无/v [np] 
8	 不/d [advp] [vp] 不/d [vp] 
8	 [np] [vp] 不衰/v 
18	 [np] [vp] a 不/d [vp] 
8	 c 不/d [vp] [advp] a u 
13	 r 不/d [vp] s [np] y 
8	 不仅/c p t 
8	 [np] [vp] [advp] 不够/a 
8	 f [np] [advp] [vp] 不/d [vp] 
8	 [advp] [vp] c [vp] [qp] 不同/a [np] 
30	 r b [vp] 不可/v y 
8	 a c [advp] 不/d a 
8	 [qp] [vp] 不/d [vp] f 
219	 c [np] 不/d [vp] 不/d [vp] 
46	 u [np] m t 不/d [vp] 
121	 r m [np] [vp] 不/d [vp] 
8	 不过尔尔/v 
42	 [advp] [vp] 不可多得/v u [np] 
25	 a u 不可胜数/l 
150	 c [np] u 不/d a 
19	 c 不/d u 不/d [vp] 
15	 [advp] [vp] 不能/v [vp] 
8	 r [advp] 不/d [vp] p r s 
8	 [pp] [np] f [advp] 不/d [vp] 
8	 不知/v r y 
22	 f r [advp] 不/d [vp] y 
22	 [advp] 不知/v [vp] p r 
8	 不/d c [np] g 
59	 c 不/d [vp] z u [np] 
8	 r 不/d [vp] a g 
8	 c g g 不/d [vp] 
8	 不过/c [pp] [np] 
27	 [vp] 不/d [vp] f u [np] 
29	 r 不止/v m [vp] 
20	 r s 不安/a 
13	 [vp] 不足为怪/v u 
29	 [vp] 不/d [vp] [advp] [vp] [qp] 
8	 不甚了了/v 
30	 r [advp] 不闻不问/v 
8	 [np] 不知/v c 不/d [np] 
22	 [advp] 不可/v [vp] y 
24	 p [qp] 不/d [vp] 
8	 r 不/d g u [np] 
